;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;Resumen general por servicios y capítulos del presupuesto de gastos;
;PRESUPUESTO 2024-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 5;Cap. 6;Cap. 7;Cap. 8;Cap. 9;;;Total;
08.01; CONSEJO GENERAL DEL PODER JUDICIAL;47.878,75;27.026,08;;579,15;;2.799,82;;50,00;;;;78.333,80;
09;APORTACIONES AL MUTUALISMO ADMINISTRATIVO;2.281.136,60;;;98.330,95;;;;;;;;2.379.467,55;
09.01; DIRECCIÓN GENERAL DE PRESUPUESTOS;2.281.136,60;;;98.330,95;;;;;;;;2.379.467,55;
10;CONTRATACIÓN CENTRALIZADA;;317.051,70;20,00;;;;;;;;;317.071,70;
10.01; DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;;317.051,70;20,00;;;;;;;;;317.071,70;
12;MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN;373.133,97;130.148,34;25,93;1.109.925,59;;65.028,03;27.918,22;235.012,40;;;;1.941.192,48;
12.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;342.860,94;122.023,23;25,04;3.158,80;;64.522,25;;782,40;;;;533.372,66;
12.02; SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA;19.033,69;4.174,83;0,89;684,56;;505,78;;;;;;24.399,75;
12.03; SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL;2.396,56;2.271,08;;622.523,07;;;21.070,25;234.230,00;;;;882.490,96;
12.04; SECRETARÍA DE ESTADO DE ASUNTOS EXTERIORES Y GLOBALES;6.171,87;1.215,16;;407.573,44;;;;;;;;414.960,47;
12.05; SECRETARÍA DE ESTADO PARA IBEROAMERICA Y EL CARIBE Y EL ESPAÑOL EN EL MUNDO;2.670,91;464,04;;75.985,72;;;6.847,97;;;;;85.968,64;
13;MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES;1.877.885,62;227.742,60;655,77;158.695,94;;201.331,01;20.234,25;692,03;;;;2.487.237,22;
13.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;105.240,81;14.593,80;15,00;241,83;;12.747,54;;63,63;;;;132.902,61;
13.02; SECRETARÍA DE ESTADO DE JUSTICIA;1.323.862,38;122.850,44;625,77;73.053,27;;154.720,44;777,00;536,00;;;;1.676.425,30;
13.03; DIRECCIÓN GENERAL DE SEGURIDAD JURÍDICA Y FE PÚBLICA;15.837,12;3.993,59;15,00;;;16.823,30;;;;;;36.669,01;
13.04; ABOGACÍA GENERAL DEL ESTADO;38.600,57;3.948,25;;;;2.088,41;;20,28;;;;44.657,51;
13.05; SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. FISCALÍA GENERAL;10.956,78;396,00;;;;3.757,05;;;;;;15.109,83;
13.06; SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. MINISTERIO FISCAL;289.145,05;;;;;;;;;;;289.145,05;
13.07; PRESIDENTE DEL GOBIERNO;54.415,24;73.839,80;;298,32;;5.404,64;;;;;;133.958,00;
13.08; SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES;39.827,67;8.120,72;;85.102,52;;5.789,63;19.457,25;72,12;;;;158.369,91;
14;MINISTERIO DE DEFENSA;5.375.480,68;1.026.498,54;;471.735,20;;5.868.928,77;81.700,78;2.833,58;;;;12.827.177,55;
14.01; MINISTERIO Y SUBSECRETARÍA;5.371.480,68;81.309,50;;25.711,11;;2.876,00;188,00;2.833,58;;;;5.484.398,87;
14.02; CUARTEL GENERAL DEL EMAD;;54.390,30;;;;21.524,50;;;;;;75.914,80;
14.03; SECRETARÍA DE ESTADO DE DEFENSA;4.000,00;403.255,99;;435.461,05;;5.490.919,04;78.565,22;;;;;6.412.201,30;
14.12; EJÉRCITO DE TIERRA;;274.883,26;;444,54;;62.766,10;;;;;;338.093,90;
14.17; ARMADA;;102.290,14;;72,00;;77.564,67;;;;;;179.926,81;
14.22; EJÉRCITO DEL AIRE Y DEL ESPACIO;;109.869,35;;46,50;;56.133,13;;;;;;166.048,98;
14.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;500,00;;10.000,00;;157.145,33;2.947,56;;;;;170.592,89;
15;MINISTERIO DE HACIENDA;420.994,05;95.688,49;4.040,67;2.145.208,38;;120.293,41;247.545,79;16.204.265,11;;;;19.238.035,90;
15.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;130.217,17;68.438,44;3.890,00;884.784,11;;14.915,56;1.124,00;3.604,35;;;;1.106.973,63;
15.02; SECRETARÍA GENERAL TÉCNICA;9.414,25;904,27;;;;575,72;;;;;;10.894,24;
15.04; DIRECCIÓN GENERAL DEL PATRIMONIO DEL ESTADO;6.684,44;5.829,54;90,00;17,31;;53.111,00;;170.250,00;;;;235.982,29;
15.05; SECRETARÍA DE ESTADO DE HACIENDA;11.006,66;213,82;;1.257.021,44;;;104.421,79;;;;;1.372.663,71;
15.06; DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN;3.693,95;372,71;;;;;;;;;;4.066,66;
15.07; DIRECCIÓN GENERAL DE TRIBUTOS;5.656,06;278,84;;;;34,31;;;;;;5.969,21;
15.08; DIRECCIÓN GENERAL DEL CATASTRO;84.796,22;6.778,76;50,67;24,94;;22.387,34;;;;;;114.037,93;
15.09; TRIBUNAL ECONÓMICO-ADMINISTRATIVO CENTRAL;29.264,49;601,21;;1,00;;1.430,56;;;;;;31.297,26;
15.11; INTERVENCIÓN GENERAL DE LA ADMINISTRACIÓN DEL ESTADO;98.539,51;10.886,04;;;;24.459,69;;;;;;133.885,24;
15.12; SECRETARÍA DE ESTADO DE PRESUPUESTOS Y GASTOS;6.891,18;122,13;;;;5,61;;;;;;7.018,92;
15.13; DIRECCIÓN GENERAL DE COSTES DE PERSONAL;6.310,49;69,61;;;;8,23;;;;;;6.388,33;
15.14; SECRETARÍA GENERAL DE FONDOS EUROPEOS;15.158,56;261,16;10,00;418,58;;2.271,39;142.000,00;;;;;160.119,69;
15.15; DIRECCIÓN GENERAL DE PRESUPUESTOS;5.902,55;101,15;;;;17,63;;;;;;6.021,33;
15.22; SECRETARÍA GENERAL DE FINANCIACIÓN AUTONÓMICA Y LOCAL;7.458,52;363,81;;;;1.076,37;;16.000.000,00;;;;16.008.898,70;
15.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;467,00;;2.941,00;;;;30.410,76;;;;33.818,76;
16;MINISTERIO DEL INTERIOR;8.056.741,20;1.703.000,98;385,95;207.800,28;;284.946,60;6.003,81;364,26;4,87;;;10.259.247,95;
16.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;418.907,32;376.605,08;2,37;130.750,78;;7.626,74;3.197,08;121,95;;;;937.211,32;
16.02; SECRETARÍA DE ESTADO DE SEGURIDAD;31.731,17;178.853,96;0,76;48.719,33;;110.044,04;2.425,00;;;;;371.774,26;
16.03; DIRECCIÓN GENERAL DE LA POLICÍA;3.427.414,53;461.933,11;167,20;6.337,16;;56.891,11;250,00;100,00;;;;3.953.093,11;
16.04; DIRECCIÓN GENERAL DE LA GUARDIA CIVIL;3.197.017,52;370.750,34;200,00;4.689,05;;98.171,04;31,53;47,12;4,87;;;3.670.911,47;
16.05; SECRETARÍA GENERAL DE INSTITUCIONES PENITENCIARIAS;981.670,66;314.858,49;15,62;17.303,96;;12.213,67;100,20;95,19;;;;1.326.257,79;
17;MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;177.178,39;68.711,17;3.529,81;3.439.587,84;;2.617.541,18;3.827.304,54;1.316.782,94;;;;11.450.635,87;
17.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;64.918,88;21.399,04;10,31;1.264,77;;13.213,02;500,00;153,78;;;;101.459,80;
17.02; DIRECCIÓN GENERAL DE PROGRAMACIÓN ECONÓMICA Y PRESUPUESTOS;;10,00;;;;1.968,00;;;;;;1.978,00;
17.03; SECRETARÍA GENERAL TÉCNICA;;375,47;3,00;111.010,00;;213,00;;;;;;111.601,47;
17.18; DIRECCIÓN GENERAL DEL INSTITUTO GEOGRÁFICO NACIONAL;16.890,03;2.307,05;;4.054,61;;11.068,94;2.870,00;;;;;37.190,63;
17.20; SECRETARÍA DE ESTADO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;469,08;3.500,00;209.944,72;;3.900,00;277.776,10;52.691,16;;;;548.281,06;
17.32; DIRECCIÓN GENERAL DE MARINA MERCANTE;28.700,44;4.630,07;16,31;342.851,61;;2.300,00;32.040,00;;;;;410.538,43;
17.34; DIRECCIÓN GENERAL DE AVIACIÓN CIVIL;2.997,48;1.210,62;0,19;575.615,36;;4.346,68;;;;;;584.170,33;
17.38; DIRECCIÓN GENERAL DE CARRETERAS;56.012,46;35.485,04;;;;2.219.124,66;470.534,35;20.800,00;;;;2.801.956,51;
17.39; DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA;5.336,24;2.275,55;;1.845.030,85;;2.800,00;673.788,00;;;;;2.529.230,64;
17.40; DIRECCIÓN GENERAL DEL SECTOR FERROVIARIO;2.322,86;549,25;;293.254,00;;18.200,00;175.780,00;1.243.138,00;;;;1.733.244,11;
17.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;56.561,92;;340.406,88;2.194.016,09;;;;;2.590.984,89;
18;MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES;481.699,78;82.213,06;328,54;5.229.467,26;;72.082,44;432.845,46;432.176,76;;;;6.730.813,30;
18.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;350.927,67;9.183,21;285,26;146.599,23;;4.583,05;37.140,33;86,06;;;;548.804,81;
18.02; SECRETARÍA GENERAL TÉCNICA;5.026,18;854,08;;138,00;;101,00;;;;;;6.119,26;
18.03; SECRETARÍA DE ESTADO DE EDUCACIÓN;1.555,59;528,00;;1.382,00;;;11.119,98;;;;;14.585,57;
18.04; DIRECCIÓN GENERAL DE EVALUACIÓN Y COOPERACIÓN TERRITORIAL;4.298,33;9.191,23;;111.176,72;;2.592,30;301.000,00;210.868,68;;;;639.127,26;
18.05; SECRETARÍA GENERAL DE FORMACIÓN PROFESIONAL;4.399,57;36.646,07;;1.185.274,08;;6.260,74;;221.222,02;;;;1.453.802,48;
18.08; DIRECCIÓN GENERAL DE PLANIFICACIÓN Y GESTIÓN EDUCATIVA;105.748,77;17.573,15;43,28;2.538.247,54;;108,00;;;;;;2.661.720,74;
18.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;9.743,67;8.237,32;;1.246.649,69;;58.437,35;83.585,15;;;;;1.406.653,18;
19;MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL;58.517,10;30.932,50;43,66;364.405,27;;17.401,09;5.424,03;64,97;;;;476.788,62;
19.01; MINISTERIO Y SUBSECRETARÍA;49.152,57;27.639,46;43,66;28.782,42;;17.401,09;41,94;64,97;;;;123.126,11;
19.02; SECRETARÍA DE ESTADO DE ECONOMÍA SOCIAL;1.718,10;150,00;;7.943,38;;;;;;;;9.811,48;
19.03; SECRETARÍA DE ESTADO DE TRABAJO;7.646,43;3.143,04;;327.679,47;;;5.382,09;;;;;343.851,03;
20;MINISTERIO DE INDUSTRIA Y TURISMO;45.639,40;16.164,94;111,00;226.669,50;;40.722,11;3.953.149,94;4.139.816,37;;;;8.422.273,26;
20.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;27.880,21;13.154,60;1,00;429,10;;12.654,28;;173,94;;;;54.293,13;
20.02; SECRETARÍA GENERAL TÉCNICA;4.170,32;218,81;;;;;;;;;;4.389,13;
20.03; SECRETARÍA DE ESTADO DE INDUSTRIA;2.282,62;84,04;;9.217,18;;;2.441,36;;;;;14.025,20;
20.04; SECRETARÍA DE ESTADO DE TURISMO;2.859,34;343,31;110,00;43.570,22;;1.306,70;73.038,31;127.990,79;;;;249.218,67;
20.09; DIRECCIÓN GENERAL DE PROGRAMAS INDUSTRIALES;6.772,56;217,18;;5.378,00;;6.061,13;416.291,27;2.571.651,64;;;;3.006.371,78;
20.10; DIRECCIÓN GENERAL DE ESTRATEGIA INDUSTRIAL Y DE LA PEQUEÑA Y MEDIANA EMPRESAMPRESA.;1.674,35;21,00;;;;;;;;;;1.695,35;
20.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;2.126,00;;168.075,00;;20.700,00;3.461.379,00;1.440.000,00;;;;5.092.280,00;
21;MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN;73.539,79;20.861,92;39,35;360.079,01;;181.217,21;307.108,88;137.006,30;;;;1.079.852,46;
21.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;25.906,29;20.861,92;23,17;299.667,15;;9.897,44;4.772,24;25.134,20;;;;386.262,41;
21.02; SECRETARÍA GENERAL TÉCNICA;3.236,39;;;33,00;;155,00;;;;;;3.424,39;
21.03; DIRECCIÓN GENERAL DE SERVICIOS E INSPECCIÓN;9.917,58;;;;;8.791,36;;;;;;18.708,94;
21.04; SECRETARÍA GENERAL DE RECURSOS AGRARIOS Y SEGURIDAD ALIMENTARIA;1.845,47;;16,18;51.154,06;;4.474,35;39.628,45;;;;;97.118,51;
21.05; DIRECCIÓN GENERAL DE PRODUCCIONES Y MERCADOS AGRARIOS;5.016,96;;;1.095,60;;7.454,71;44.887,00;;;;;58.454,27;
21.06; DIRECCIÓN GENERAL DE SANIDAD DE LA PRODUCCIÓN AGROALIMENTARIA Y BIENESTAR ANIMAL;6.087,23;;;140,00;;18.881,80;21.581,47;;;;;46.690,50;
21.07; DIRECCIÓN GENERAL DE ALIMENTACIÓN;6.478,01;;;430,00;;24.663,51;2.815,73;;;;;34.387,25;
21.08; DIRECCIÓN GENERAL DE DESARROLLO RURAL, INNOVACIÓN Y FORMACIÓN AGROALIMENTARIA;5.765,96;;;6.441,40;;62.682,04;159.499,16;111.872,10;;;;346.260,66;
21.09; SECRETARÍA GENERAL DE PESCA;1.830,73;;;;;;;;;;;1.830,73;
21.10; DIRECCIÓN GENERAL DE PESCA SOSTENIBLE;2.313,08;;;119,56;;21.638,00;300,00;;;;;24.370,64;
21.11; DIRECCIÓN GENERAL DE ORDENACIÓN PESQUERA Y ACUICULTURA;5.142,09;;;998,24;;22.579,00;33.624,83;;;;;62.344,16;
22;MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA;271.678,15;48.998,14;2.763,20;8.334,13;;25.824,37;53.416,00;364,90;;;;411.378,89;
22.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;26.555,38;7.229,90;;;;7.518,62;;59,77;;;;41.363,67;
22.02; SECRETARÍA DE ESTADO DE POLÍTICA TERRITORIAL;243.910,77;38.228,24;2.763,20;2.684,13;;16.355,75;51.816,00;305,13;;;;356.063,22;
22.03; SECRETARÍA DE ESTADO DE MEMORIA DEMOCRÁTICA;1.212,00;3.540,00;;5.650,00;;1.950,00;1.600,00;;;;;13.952,00;
23;MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO;105.799,54;24.581,51;15,17;745.624,68;;965.864,61;8.518.026,89;942.209,49;;;;11.302.121,89;
23.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;34.075,15;;;11.546,00;;;13.170,00;;;;;58.791,15;
23.02; SECRETARÍA GENERAL TÉCNICA;2.165,44;;;;;;;;;;;2.165,44;
23.03; SECRETARÍA DE ESTADO DE ENERGÍA;2.210,50;;;452.410,78;;16.086,93;3.610.379,56;471.220,64;;;;4.552.308,41;
23.04; SECRETARÍA DE ESTADO DE MEDIO AMBIENTE;1.174,48;;;49.896,99;;468,24;60.587,32;;;;;112.127,03;
23.05; DIRECCIÓN GENERAL DEL AGUA;7.999,46;;;97.573,55;;426.885,72;127.127,00;386.820,49;;;;1.046.406,22;
23.06; DIRECCIÓN GENERAL DE LA COSTA Y DEL MAR;25.070,66;;;1.869,28;;68.765,51;950,00;;;;;96.655,45;
23.08; DIRECCIÓN GENERAL DE CALIDAD Y EVALUACIÓN AMBIENTAL;6.934,67;;;;;7.040,08;13.415,69;;;;;27.390,44;
23.09; DIRECCIÓN GENERAL DE POLÍTICA ENERGÉTICA Y MINAS;4.902,38;;;4.580,01;;11.536,05;9.121,51;;;;;30.139,95;
23.10; OFICINA ESPAÑOLA DEL CAMBIO CLIMÁTICO;2.781,63;;;222,28;;1.500,00;10.800,00;12.000,00;;;;27.303,91;
23.11; DIRECCIÓN GENERAL DE BIODIVERSIDAD, BOSQUES Y DESERTIFICACIÓN;6.552,93;;;15.197,42;;142.667,20;26.102,54;22.000,00;;;;212.520,09;
23.12; DIRECCIÓN GENERAL DE SERVICIOS;10.493,29;24.581,51;15,17;4.725,53;;12.300,00;14.670,69;168,36;;;;66.954,55;
23.13; SECRETARÍA GENERAL PARA EL RETO DEMOGRÁFICO;486,60;;;;;;;;;;;486,60;
23.14; DIRECCIÓN GENERAL DE POLÍTICAS CONTRA LA DESPOBLACIÓN;952,35;;;30.102,84;;500,00;39.797,16;;;;;71.352,35;
23.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;77.500,00;;278.114,88;4.591.905,42;50.000,00;;;;4.997.520,30;
24;MINISTERIO DE CULTURA;88.734,88;52.700,40;40,50;646.306,41;;37.240,02;207.269,71;11.133,94;;;;1.043.425,86;
24.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;25.467,09;5.859,38;3,50;586.522,68;;3.547,00;123.488,83;133,94;;;;745.022,42;
24.02; SECRETARÍA GENERAL TÉCNICA;3.550,78;592,90;;;;44,00;;;;;;4.187,68;
24.03; DIRECCIÓN GENERAL DEL LIBRO, DEL CÓMIC Y DE LA LECTURA;4.428,70;3.614,16;;8.364,05;;2.331,15;3.355,88;;;;;22.093,94;
24.04; DIRECCIÓN GENERAL DE DERECHOS CULTURALES;3.162,39;2.361,39;;22.290,42;;478,00;58.336,00;11.000,00;;;;97.628,20;
24.05; DIRECCIÓN GENERAL DE PATRIMONIO CULTURAL Y BELLAS ARTES;51.168,17;35.615,17;37,00;28.051,77;;30.812,55;22.089,00;;;;;167.773,66;
24.06; SECRETARÍA DE ESTADO DE CULTURA;957,75;4.657,40;;1.077,49;;27,32;;;;;;6.719,96;
25;MINISTERIO DE VIVIENDA Y AGENDA URBANA;11.461,47;1.872,55;1.630,00;3.405,00;;25.183,84;2.080.815,57;1.360.000,00;165,00;;;3.484.533,43;
25.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;6.667,78;285,00;;;;;;;;;;6.952,78;
25.09; DIRECCIÓN GENERAL DE VIVIENDA Y SUELO;2.524,18;361,30;1.630,00;3.000,00;;683,84;696.423,12;260.000,00;165,00;;;964.787,44;
25.10; DIRECCIÓN GENERAL DE AGENDA URBANA Y ARQUITECTURA;2.269,51;1.226,25;;405,00;;24.500,00;4.392,45;;;;;32.793,21;
25.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;;1.380.000,00;1.100.000,00;;;;2.480.000,00;
26;MINISTERIO DE SANIDAD;59.170,03;64.426,05;;529.269,31;;27.679,73;591.373,61;40,50;;;;1.271.959,23;
26.01; MINISTERIO Y SUBSECRETARÍA;26.213,80;4.706,63;;;;2.027,74;;40,50;;;;32.988,67;
26.02; SECRETARÍA GENERAL TÉCNICA;3.300,27;789,33;;2.353,06;;6,80;24,92;;;;;6.474,38;
26.03; SECRETARÍA GENERAL DE SALUD DIGITAL, INFORMACIÓN E INNOVACIÓN DEL SISTEMA NACIONAL DE SALUD;3.625,02;3.645,00;;2.006,95;;;;;;;;9.276,97;
26.04; SECRETARÍA DE ESTADO DE SANIDAD;990,62;266,27;;9.154,12;;3,00;267,55;;;;;10.681,56;
26.05; DIRECCIÓN GENERAL DE SALUD DIGITAL Y SISTEMAS DE INFORMACIÓN PARA EL SISTEMA NACIONAL DE SALUD;5.366,01;13.461,86;;;;861,04;;;;;;19.688,91;
26.06; COMISIONADO DE SALUD MENTAL;575,88;2.500,00;;16.000,00;;;22.500,00;;;;;41.575,88;
26.07; DIRECCIÓN GENERAL DE SALUD PÚBLICA Y EQUIDAD EN SALUD;8.648,49;28.402,61;;92.758,84;;469,15;545.874,00;;;;;676.153,09;
26.09; DIRECCIÓN GENERAL DE CARTERA COMÚN DE SERVICIOS DEL SISTEMA NACIONAL DE SALUD Y FARMACIA;4.237,60;6.355,70;;396.465,45;;24.306,00;22.097,35;;;;;453.462,10;
26.12; DIRECCIÓN GENERAL DE ORDENACIÓN PROFESIONAL;3.371,76;3.168,07;;;;6,00;;;;;;6.545,83;
26.18; DELEGACIÓN DEL GOBIERNO PARA EL PLAN NACIONAL SOBRE DROGAS;2.840,58;1.130,58;;10.530,89;;;609,79;;;;;15.111,84;
27;MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA;159.169,94;78.500,51;27.825,02;606.024,27;;17.271,30;286.143,30;1.336.888,66;1,00;;;2.511.824,00;
27.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;30.342,42;17.261,91;15,00;;;5.067,64;;191,32;;;;52.878,29;
27.02; SECRETARÍA GENERAL TÉCNICA;2.322,41;134,58;;;;;;;;;;2.456,99;
27.03; SECRETARÍA DE ESTADO DE ECONOMÍA Y APOYO A LA EMPRESA;4.691,20;99,33;12.632,65;196.006,19;;2,10;28.338,90;1,00;;;;241.771,37;
27.04; SECRETARÍA GENERAL DEL TESORO Y FINANCIACIÓN INTERNACIONAL;9.759,22;35.623,07;15.060,44;383.186,76;;846,36;;136.549,84;1,00;;;581.026,69;
27.05; DIRECCIÓN GENERAL DE POLÍTICA ECONÓMICA;3.928,75;563,18;;3,50;;204,49;;;;;;4.699,92;
27.06; DIRECCIÓN GENERAL DE ANÁLISIS ECONÓMICO;1.987,78;256,92;;21,00;;;;;;;;2.265,70;
27.07; DIRECCIÓN GENERAL DE SEGUROS Y FONDOS DE PENSIONES;11.044,95;2.626,07;;1.999,93;;3.267,47;;;;;;18.938,42;
27.10; SECRETARÍA DE ESTADO DE COMERCIO;5.217,47;547,96;;19.380,51;;72,50;66.816,29;;;;;92.034,73;
27.14; DIRECCIÓN GENERAL DE COMERCIO INTERNACIONAL E INVERSIONES;22.640,10;18.206,87;116,93;535,00;;1.528,91;;230.146,50;;;;273.174,31;
27.15; DIRECCIÓN GENERAL DE POLÍTICA COMERCIAL;67.235,64;1.446,23;;2.636,38;;425,00;2.727,50;;;;;74.470,75;
27.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;1.734,39;;2.255,00;;5.856,83;188.260,61;970.000,00;;;;1.168.106,83;
28;MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES;58.731,69;28.211,23;36,00;1.067.325,09;;6.384,48;3.257.667,85;3.029.918,53;;;;7.448.274,87;
28.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;41.334,30;8.328,91;;19.120,79;;4.850,59;5.016,85;20,00;;;;78.671,44;
28.02; SECRETARÍA GENERAL TÉCNICA;2.327,22;766,27;;;;;;;;;;3.093,49;
28.06; SECRETARÍA GENERAL DE INVESTIGACIÓN;2.319,74;10.389,09;1,00;671.177,73;;300,00;1.042.837,46;;;;;1.727.025,02;
28.07; DIRECCIÓN GENERAL DE PLANIFICACIÓN DE LA INVESTIGACIÓN;2.616,93;527,47;;196.425,09;;543,14;53.730,75;1.861.628,53;;;;2.115.471,91;
28.08; SECRETARÍA GENERAL DE INNOVACIÓN;2.442,46;2.538,68;5,00;32.422,64;;545,75;511.231,05;938.270,00;;;;1.487.455,58;
28.09; SECRETARÍA GENERAL DE UNIVERSIDADES;7.691,04;5.660,81;30,00;148.178,84;;145,00;135.085,63;;;;;296.791,32;
28.50; MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;;;;;1.509.766,11;230.000,00;;;;1.739.766,11;
29;MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;41.801,11;25.181,87;5,00;4.145.544,13;;6.683,85;21.816,95;92,88;;;;4.241.125,79;
29.01; MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;18.456,09;8.668,94;;;;1.962,00;;92,88;;;;29.179,91;
29.02; SECRETARÍA GENERAL TÉCNICA;2.227,42;279,95;;11,30;;;;;;;;2.518,67;
