;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
;;;12005; Trienios;21,40;;
;;;12006; Pagas extraordinarias;26,92;;
;;;121;Retribuciones complementarias;;210,48;
;;;12100; Complemento de destino;88,05;;
;;;12101; Complemento específico;122,43;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;30,00;
;;;160;Cuotas sociales;;30,00;
v;;;16000; Seguridad Social;30,00;;
;;;;TOTAL GASTOS DE PERSONAL;;414,15;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;50,00;
;;;227;Trabajos realizados por otras empresas y profesionales;;50,00;
;;;22706; Estudios y trabajos técnicos;50,00;;
v;;;23;Indemnizaciones por razón del servicio;;52,00;
;;;230;Dietas;;4,24;
;;;231;Locomoción;;5,76;
;;;233;Otras indemnizaciones;;42,00;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;102,00;
 ; ;;;;;;
;;;;TOTAL Comisión de Investigación de Accidentes Ferroviarios;;516,15;
 ; ;;;;;;
v;;454O;;Comisión de Investigación de Accidentes e Incidentes Marítimos;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;527,88;
;;;120;Retribuciones básicas;;236,00;
;;;12000; Sueldos del grupo A1 y grupo A;163,50;;
;;;12003; Sueldos del grupo C2 y grupo D;16,06;;
;;;12005; Trienios;19,76;;
;;;12006; Pagas extraordinarias;36,68;;
;;;121;Retribuciones complementarias;;291,88;
;;;12100; Complemento de destino;119,68;;
;;;12101; Complemento específico;172,20;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;54,00;
;;;160;Cuotas sociales;;54,00;
v;;;16000; Seguridad Social;54,00;;
;;;;TOTAL GASTOS DE PERSONAL;;581,88;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;10,00;
;;;227;Trabajos realizados por otras empresas y profesionales;;10,00;
;;;22706; Estudios y trabajos técnicos;10,00;;
v;;;23;Indemnizaciones por razón del servicio;;55,30;
;;;230;Dietas;;11,58;
;;;231;Locomoción;;18,42;
;;;233;Otras indemnizaciones;;25,30;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;65,30;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;64;Gastos de inversiones de carácter inmaterial;;2.040,00;
;;;640;Gastos en inversiones de carácter inmaterial;;2.040,00;
;;;;TOTAL INVERSIONES REALES;;2.040,00;
 ; ;;;;;;
;;;;TOTAL Comisión de Investigación de Accidentes e Incidentes Marítimos;;2.687,18;
 ; ;;;;;;
v;;455O;;Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;12;Funcionarios;;978,30;
;;;120;Retribuciones básicas;;437,05;
;;;12000; Sueldos del grupo A1 y grupo A;148,64;;
;;;12001; Sueldos del grupo A2 y grupo B;167,09;;
;;;12005; Trienios;48,71;;
;;;12006; Pagas extraordinarias;72,61;;
;;;121;Retribuciones complementarias;;541,25;
;;;12100; Complemento de destino;225,88;;
;;;12101; Complemento específico;315,37;;
v;;;13;Laborales;;24,74;
;;;130;Laboral fijo;;24,74;
;;;13000; Retribuciones básicas;22,46;;
;;;13001; Otras remuneraciones;2,28;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;91,00;
;;;160;Cuotas sociales;;91,00;
v;;;16000; Seguridad Social;91,00;;
;;;;TOTAL GASTOS DE PERSONAL;;1.094,04;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;20,00;
;;;227;Trabajos realizados por otras empresas y profesionales;;20,00;
;;;22706; Estudios y trabajos técnicos;20,00;;
v;;;23;Indemnizaciones por razón del servicio;;78,59;
;;;230;Dietas;;13,00;
;;;231;Locomoción;;13,00;
;;;233;Otras indemnizaciones;;52,59;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;98,59;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;64;Gastos de inversiones de carácter inmaterial;;570,22;
;;;640;Gastos en inversiones de carácter inmaterial;;570,22;
;;;;TOTAL INVERSIONES REALES;;570,22;
 ; ;;;;;;
;;;;TOTAL Comisión de Investigación de Accidentes e Incidentes de Aviación Civil;;1.762,85;
 ; ;;;;;;
v;;467G;;Investigación y desarrollo de la Sociedad de la Información;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;980,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;980,00;
;;;;TOTAL INVERSIONES REALES;;980,00;
 ; ;;;;;;
;;;;TOTAL Investigación y desarrollo de la Sociedad de la Información;;980,00;
 ; ;;;;;;
;;;;TOTAL MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES;;102.119,85;
 ; ;;;;;;
 ; ;;;;;;
v;02;;;DIRECCIÓN GENERAL DE PROGRAMACIÓN ECONÓMICA Y PRESUPUESTOS;;;
v;;451N;;Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;10,00;
;;;220;Material de oficina;;3,12;
;;;22000; Ordinario no inventariable;0,94;;
;;;22001; Prensa, revistas, libros y otras publicaciones;1,88;;
;;;22002; Material informático no inventariable;0,30;;
;;;226;Gastos diversos;;3,25;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22606; Reuniones, conferencias y cursos;1,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;3,63;
;;;22706; Estudios y trabajos técnicos;3,63;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;10,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;3,86;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;3,86;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3,86;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;3,86;
;;;64;Gastos de inversiones de carácter inmaterial;;1.960,28;
;;;640;Gastos en inversiones de carácter inmaterial;;1.960,28;
;;;;TOTAL INVERSIONES REALES;;1.968,00;
 ; ;;;;;;
;;;;TOTAL Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;1.978,00;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE PROGRAMACIÓN ECONÓMICA Y PRESUPUESTOS;;1.978,00;
 ; ;;;;;;
 ; ;;;;;;
v;03;;;SECRETARÍA GENERAL TÉCNICA;;;
v;;451N;;Dirección y Servicios Generales de Transportes y Movilidad Sostenible;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;113,30;
;;;220;Material de oficina;;10,00;
;;;22002; Material informático no inventariable;10,00;;
;;;226;Gastos diversos;;32,25;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22606; Reuniones, conferencias y cursos;30,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;71,05;
;;;22706; Estudios y trabajos técnicos;71,05;;
v;;;24;Gastos de publicaciones;;262,17;
;;;240;Gastos de edición y distribución;;262,17;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;375,47;
 ; ;;;;;;
v;;;3;GASTOS FINANCIEROS;;;
