;PRESUPUESTOS GENERALES DEL ESTADO;
;ESTADO;
;;
;;
;Sección: 17 MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
;Servicio;Programa;Económica;Explicación;;Total;
;;;12001; Sueldos del grupo A2 y grupo B;912,56;;
;;;12002; Sueldos del grupo C1 y grupo C;279,85;;
;;;12003; Sueldos del grupo C2 y grupo D;329,31;;
;;;12005; Trienios;554,26;;
;;;12006; Pagas extraordinarias;618,14;;
;;;121;Retribuciones complementarias;;3.516,56;
;;;12100; Complemento de destino;1.543,51;;
;;;12101; Complemento específico;1.973,05;;
v;;;13;Laborales;;9.507,44;
;;;130;Laboral fijo;;9.507,44;
;;;13000; Retribuciones básicas;8.562,98;;
;;;13001; Otras remuneraciones;944,46;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;3.500,00;
;;;160;Cuotas sociales;;3.500,00;
v;;;16000; Seguridad Social;3.500,00;;
;;;;TOTAL GASTOS DE PERSONAL;;20.184,28;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;21;Reparaciones, mantenimiento y conservación;;146,23;
;;;212;Edificios y otras construcciones;;81,97;
;;;213;Maquinaria, instalaciones y utillaje;;25,68;
;;;214;Elementos de transporte;;38,58;
v;;;22;Material, suministros y otros;;34.578,90;
;;;220;Material de oficina;;178,95;
;;;22000; Ordinario no inventariable;125,20;;
;;;22001; Prensa, revistas, libros y otras publicaciones;12,08;;
;;;22002; Material informático no inventariable;41,67;;
;;;221;Suministros;;29.835,92;
;;;22100; Energía eléctrica;26.589,21;;
;;;22101; Agua;77,32;;
;;;22102; Gas;23,16;;
;;;22103; Combustible;1.750,62;;
;;;22104; Vestuario;846,32;;
;;;22106; Productos farmacéuticos y material sanitario;52,18;;
;;;22111; Suministros de repuestos de maquinaria, utillaje y elementos de transporte;63,80;;
;;;22112; Suministros de material electrónico, eléctrico y de comunicaciones;3,31;;
;;;22199; Otros suministros;430,00;;
;;;222;Comunicaciones;;228,62;
;;;22200; Servicios de telecomunicaciones;7,62;;
;;;22201; Postales y mensajería;221,00;;
;;;223;Transportes;;1,83;
;;;224;Primas de seguros;;162,09;
;;;225;Tributos;;97,49;
;;;22500; Estatales;5,15;;
;;;22501; Autonómicos;2,41;;
v;;;22502; Locales;89,93;;
;;;226;Gastos diversos;;1.940,59;
;;;22602; Publicidad y propaganda;7,35;;
;;;22603; Jurídicos, contenciosos;1.905,56;;
;;;22606; Reuniones, conferencias y cursos;18,43;;
;;;22699; Otros;9,25;;
;;;227;Trabajos realizados por otras empresas y profesionales;;2.133,41;
;;;22700; Limpieza y aseo;29,82;;
;;;22701; Seguridad;42,75;;
;;;22706; Estudios y trabajos técnicos;2.050,00;;
;;;22799; Otros;10,84;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;34.725,13;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;61;Inversión de reposición en infraestructuras y bienes destinados al uso general;;1.153.090,01;
;;;611;Otras;;1.153.090,01;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;409,99;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;409,99;
;;;;TOTAL INVERSIONES REALES;;1.153.500,00;
 ; ;;;;;;
;;;;TOTAL Conservación y explotación de carreteras;;1.208.409,41;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE CARRETERAS;;2.801.956,51;
 ; ;;;;;;
 ; ;;;;;;
v;39;;;DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA;;;
v;;441M;;Subvenciones y apoyo al transporte terrestre;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;1.313.641,00;
v;;;440;Fundación de los Ferrocarriles Españoles;;40,00;
v;;;442;Renfe Viajeros, S.M.E., S.A. para la compensación de las Obligaciones de Servicio Público, pendiente de liquidación;;1.009.000,00;
v;;;443;Renfe Viajeros, S.M.E., S.A. para adquisición de material rodante;;1,00;
v;;;445;Ayudas para reducción del precio de abonos y títulos multiviaje por parte de RENFE VIAJEROS S.M.E., S.A.;;3.600,00;
v;;;447;Renfe Viajeros, S.M.E., S.A. para compensar los servicios de transporte de cercanías y regionales traspasados a la Comunidad Autónoma de Cataluña, correspondientes al ejercicio anterior, pendientes de liquidación;;301.000,00;
v;;;45;A Comunidades Autónomas;;451.445,52;
v;;;451;A la Autoridad del Transporte Metropolitano de Barcelona, para la financiación del transporte regular de viajeros;;149.301,52;
v;;;452;Subvenciones para establecer descuentos de abonos de transporte y títulos multiviaje;;81.000,00;
v;;;45201; A la Comunidad Autónoma de Canarias para el establecimiento de un descuento del 100% a los usuarios recurrentes en el precio de los abonos de transporte y títulos multiviaje del transporte público colectivo terrestre de las islas Canarias;81.000,00;;
v;;;453;A la Comunidad Autónoma de Canarias para la financiación de las necesidades correspondientes al transporte regular de viajeros de las distintas Islas Canarias;;47.500,00;
v;;;454;Al Consorcio Regional de Transportes de Madrid, para la financiación del transporte regular de viajeros;;126.894,00;
v;;;455;Programa de subvenciones para una movilidad territorial innovadora a favor de Comunidades Autónomas;;3.750,00;
v;;;458;A la Autoridad del Transporte Metropolitano de Valencia, para la financiación del transporte regular de viajeros;;40.000,00;
v;;;459;A Comunidades Autónomas para subvenciones temporales para la asunción de servicios de competencia autonómica derivadas de la tramitación del mapa concesional;;3.000,00;
v;;;46;A Entidades Locales;;54.304,74;
v;;;461;Programa de subvenciones para una movilidad territorial innovadora a favor de Entidades Locales;;1.250,00;
v;;;462;A corporaciones locales para cofinanciar los servicios de transporte colectivo urbano;;51.054,74;
v;;;463;A Entidades Locales para el proyecto piloto de servicios de proximidad en Córdoba;;2.000,00;
v;;;47;A empresas privadas;;15.100,00;
v;;;471;Ayudas a empresas ferroviarias para reducción del precio de abonos y títulos multiviaje;;100,00;
v;;;473;Transporte regular de viajeros por carretera. Obligaciones de Servicio Público;;15.000,00;
v;;;48;A familias e instituciones sin fines de lucro;;10.200,00;
v;;;482;Para satisfacer bonificaciones en billetes de transporte ferroviario expedidos a familias numerosas;;10.000,00;
v;;;483;Para satisfacer bonificaciones a billetes intermodales con la alta velocidad ferroviaria;;200,00;
v;;;49;Al exterior;;234,59;
v;;;492;Cuotas a Organismos Internacionales;;234,59;
;;;49200; Organización Internacional de Transportes por Cable (OITAF);1,64;;
;;;49203; Organización Intergubernamental para los Transportes Internacionales por Ferrocarril (OTIF);232,95;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;1.844.925,85;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;660.000,00;
v;;;741;Actuaciones para el fomento del uso social del transporte público;;660.000,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;660.000,00;
 ; ;;;;;;
;;;;TOTAL Subvenciones y apoyo al transporte terrestre;;2.504.925,85;
 ; ;;;;;;
v;;453M;;Ordenación e inspección del transporte terrestre;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;4.680,45;
;;;120;Retribuciones básicas;;2.268,29;
;;;12000; Sueldos del grupo A1 y grupo A;713,47;;
;;;12001; Sueldos del grupo A2 y grupo B;334,18;;
;;;12002; Sueldos del grupo C1 y grupo C;299,15;;
;;;12003; Sueldos del grupo C2 y grupo D;152,61;;
;;;12005; Trienios;372,99;;
;;;12006; Pagas extraordinarias;395,89;;
;;;121;Retribuciones complementarias;;2.412,16;
;;;12100; Complemento de destino;1.037,30;;
;;;12101; Complemento específico;1.374,86;;
v;;;13;Laborales;;69,75;
;;;130;Laboral fijo;;69,75;
;;;13000; Retribuciones básicas;66,12;;
;;;13001; Otras remuneraciones;3,63;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;525,00;
;;;160;Cuotas sociales;;525,00;
v;;;16000; Seguridad Social;525,00;;
;;;;TOTAL GASTOS DE PERSONAL;;5.336,24;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;2.275,55;
;;;220;Material de oficina;;227,00;
;;;22002; Material informático no inventariable;227,00;;
;;;221;Suministros;;1,00;
;;;22199; Otros suministros;1,00;;
;;;222;Comunicaciones;;2,00;
;;;22201; Postales y mensajería;2,00;;
;;;223;Transportes;;1,00;
;;;226;Gastos diversos;;144,55;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;11,00;;
;;;22603; Jurídicos, contenciosos;59,30;;
;;;22606; Reuniones, conferencias y cursos;40,00;;
;;;22607; Oposiciones y pruebas selectivas;31,00;;
;;;22699; Otros;1,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;1.900,00;
;;;22706; Estudios y trabajos técnicos;1.900,00;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;2.275,55;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;48;A familias e instituciones sin fines de lucro;;92,00;
v;;;480;Comité Nacional del Transporte por Carretera (Actividades relacionadas con la Ley de Ordenación de los Transportes Terrestres);;80,00;
v;;;481;I T S. España (Sistemas Inteligentes de Transporte);;12,00;
v;;;49;Al exterior;;13,00;
v;;;492;Cuotas a Organismos Internacionales;;13,00;
;;;49201; CORTE;3,00;;
;;;49202; EUROCONTROL;10,00;;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;105,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;62;Inversión nueva asociada al funcionamiento operativo de los servicios;;178,00;
;;;620;Inversión nueva asociada al funcionamiento operativo de los servicios;;178,00;
;;;63;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.720,00;
;;;630;Inversión de reposición asociada al funcionamiento operativo de los servicios;;1.720,00;
;;;64;Gastos de inversiones de carácter inmaterial;;902,00;
;;;640;Gastos en inversiones de carácter inmaterial;;902,00;
;;;;TOTAL INVERSIONES REALES;;2.800,00;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;77;A empresas privadas;;9.930,00;
v;;;772;Programa de medidas para la mejora del sector del transporte por carretera;;9.930,00;
v;;;78;A familias e instituciones sin fines de lucro;;3.858,00;
v;;;781;Programa de apoyo a Instituciones y Entidades sin ánimo de lucro relacionadas con el transporte por carretera;;3.858,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;13.788,00;
 ; ;;;;;;
;;;;TOTAL Ordenación e inspección del transporte terrestre;;24.304,79;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DE TRANSPORTE POR CARRETERA;;2.529.230,64;
 ; ;;;;;;
 ; ;;;;;;
v;40;;;DIRECCIÓN GENERAL DEL SECTOR FERROVIARIO;;;
v;;453A;;Infraestructura del transporte ferroviario;;;
v;;;1;GASTOS DE PERSONAL;;;
v;;;10;Altos cargos;;61,04;
;;;100;Retribuciones básicas y otras remuneraciones;;61,04;
;;;10000; Retribuciones básicas;18,91;;
;;;10001; Retribuciones complementarias;42,13;;
v;;;12;Funcionarios;;1.956,82;
;;;120;Retribuciones básicas;;902,65;
;;;12000; Sueldos del grupo A1 y grupo A;401,33;;
;;;12001; Sueldos del grupo A2 y grupo B;205,65;;
;;;12002; Sueldos del grupo C1 y grupo C;38,60;;
;;;12003; Sueldos del grupo C2 y grupo D;24,10;;
;;;12005; Trienios;93,88;;
;;;12006; Pagas extraordinarias;139,09;;
;;;121;Retribuciones complementarias;;1.054,17;
;;;12100; Complemento de destino;442,83;;
;;;12101; Complemento específico;611,34;;
v;;;16;Cuotas, prestaciones y gastos sociales a cargo del empleador;;305,00;
;;;160;Cuotas sociales;;305,00;
v;;;16000; Seguridad Social;305,00;;
;;;;TOTAL GASTOS DE PERSONAL;;2.322,86;
 ; ;;;;;;
v;;;2;GASTOS CORRIENTES EN BIENES Y SERVICIOS;;;
v;;;22;Material, suministros y otros;;549,25;
;;;226;Gastos diversos;;99,25;
v;;;22601; Atenciones protocolarias y representativas;2,25;;
;;;22602; Publicidad y propaganda;30,00;;
;;;22603; Jurídicos, contenciosos;64,00;;
;;;22606; Reuniones, conferencias y cursos;3,00;;
;;;227;Trabajos realizados por otras empresas y profesionales;;450,00;
;;;22702; Valoraciones y peritajes;450,00;;
;;;;TOTAL GASTOS CORRIENTES EN BIENES Y SERVICIOS;;549,25;
 ; ;;;;;;
v;;;4;TRANSFERENCIAS CORRIENTES;;;
v;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;292.204,00;
v;;;441;Sociedad "Línea Figueras-Perpiñán S.A" para la explotación y mantenimiento de la sección internacional de la línea ferroviaria entre España y Francia;;3.200,00;
v;;;443;ADIF para compensación del segmento de administración de red;;194.238,00;
v;;;444;ADIF-Alta Velocidad para compensación de reducción de tarifas;;30.000,00;
v;;;445;ADIF para compensación de reducción de tarifas;;15.762,00;
v;;;446;ADIF para compensación del resto de actividades;;49.004,00;
v;;;47;A empresas privadas;;1.050,00;
v;;;470;Ayudas a empresas ferroviarias de transporte de mercancías por restricciones temporales de capacidad;;1.050,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;293.254,00;
 ; ;;;;;;
v;;;6;INVERSIONES REALES;;;
;;;60;Inversión nueva en infraestructuras y bienes destinados al uso general;;16.200,00;
;;;601;Otras;;16.200,00;
;;;64;Gastos de inversiones de carácter inmaterial;;2.000,00;
;;;640;Gastos en inversiones de carácter inmaterial;;2.000,00;
;;;;TOTAL INVERSIONES REALES;;18.200,00;
 ; ;;;;;;
v;;;7;TRANSFERENCIAS DE CAPITAL;;;
v;;;75;A Comunidades Autónomas;;175.780,00;
v;;;752;A la comunidad Autónoma de Euskadi por la disposición adicional cuarta de la Ley 12/2002 y disposiciones concordantes;;135.590,00;
v;;;755;A la Junta de Andalucía para financiar la Línea 3 del Metro de Sevilla – Tramo Norte;;20.190,00;
v;;;756;Al Gobierno de las Illes Balears para financiar una nueva línea de Tranvía en la Bahía de Palma;;20.000,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;175.780,00;
 ; ;;;;;;
v;;;8;ACTIVOS FINANCIEROS;;;
v;;;87;Aportaciones patrimoniales;;1.243.138,00;
v;;;871;ADIF-Alta Velocidad;;311.574,00;
v;;;872;ADIF para financiar amortización endeudamiento;;35.938,00;
v;;;873;ADIF para inversiones;;895.626,00;
;;;;TOTAL ACTIVOS FINANCIEROS;;1.243.138,00;
 ; ;;;;;;
;;;;TOTAL Infraestructura del transporte ferroviario;;1.733.244,11;
 ; ;;;;;;
;;;;TOTAL DIRECCIÓN GENERAL DEL SECTOR FERROVIARIO;;1.733.244,11;
 ; ;;;;;;
 ; ;;;;;;
v;50;;;MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;;
v;;45AA;;C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;;;
;;;6;INVERSIONES REALES;;;
;;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;36.148,53;
;;;691;Inversión de reposición en infraestructuras y bienes destinados al uso general. Mecanismo de Recuperación y Resiliencia;;36.148,53;
;;;;TOTAL INVERSIONES REALES;;36.148,53;
 ; ;;;;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;75;A Comunidades Autónomas;;76.000,00;
;;;753;Plan de choque de movilidad sostenible, segura y conectada en entornos urbanos y metropolitanos. Programa para la transformación de flotas de transporte público urbano, metropolitano e interurbano. Mecanismo de Recuperación y Resiliencia;;76.000,00;
;;;76;A Entidades Locales;;875.000,00;
;;;762;Plan de choque de movilidad sostenible, segura y conectada en entornos urbanos y metropolitanos. Programa para la implantación de Zonas de bajas emisiones y transformación del transporte urbano y metropolitano dirigido a EE.LL Mecanismo de Recuperación y Resiliencia;;863.386,60;
v;;;764;A la Mancomunidad Don Benito-Villanueva de la Serena, para la ejecución de actuaciones integradas en el Programa para la implantación de Zonas de bajas emisiones y la transformación del transporte urbano y metropolitano. Mecanismo de Recuperación y Resiliencia;;2.521,40;
v;;;767;Al Ayuntamiento de A Coruña, para la ejecución de actuaciones integradas en el Programa para la implantación de Zonas de bajas emisiones y la transformación del transporte urbano y metropolitano. Mecanismo de Recuperación y Resiliencia;;9.092,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;951.000,00;
 ; ;;;;;;
;;;;TOTAL C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. Infraestructuras y Ecosistemas Resilientes;;987.148,53;
 ; ;;;;;;
v;;45AC;;C01.I03 Actuaciones de mejora de la calidad y fiabilidad en el servicio de Cercanías.;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;358.989,77;
v;;;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;307.870,91;
v;;;744;A RENFE Viajeros, S.A. para el Mecanismo de Recuperación y Resiliencia;;27.558,00;
v;;;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;;23.560,86;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;358.989,77;
 ; ;;;;;;
;;;;TOTAL C01.I03 Actuaciones de mejora de la calidad y fiabilidad en el servicio de Cercanías.;;358.989,77;
 ; ;;;;;;
v;;45FA;;C06.I01 Red nacional de transporte: Corredores europeos.;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;236.816,02;
v;;;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;50.607,20;
v;;;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;;186.208,82;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;236.816,02;
 ; ;;;;;;
;;;;TOTAL C06.I01 Red nacional de transporte: Corredores europeos.;;236.816,02;
 ; ;;;;;;
v;;45FB;;C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;;;
;;;4;TRANSFERENCIAS CORRIENTES;;;
;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;5.061,92;
v;;;447;A SEITTSA para el Mecanismo de Recuperación y Resiliencia;;5.061,92;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;5.061,92;
 ; ;;;;;;
;;;6;INVERSIONES REALES;;;
;;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;251.582,78;
;;;690;Inversión nueva en infraestructuras y bienes destinados al uso general. Mecanismo de Recuperación y Resiliencia.;;14.100,56;
;;;691;Inversión de reposición en infraestructuras y bienes destinados al uso general. Mecanismo de Recuperación y Resiliencia;;237.482,22;
;;;;TOTAL INVERSIONES REALES;;251.582,78;
 ; ;;;;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;252.572,27;
v;;;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;204.561,63;
v;;;743;A ENAIRE para el Mecanismo de Recuperación y Resiliencia;;17.817,32;
v;;;746;A ADIF-Alta Velocidad para el Mecanismo de Recuperación y Resiliencia;;29.443,32;
v;;;748;A SECEGSA para el Mecanismo de Recuperación y Resiliencia;;750,00;
;;;75;A Comunidades Autónomas;;5.767,77;
v;;;755;Convenio con la Generalitat de Catalunya para la cesión de la B-23 e implantación del carril BUS-VAO en el acceso a Barcelona. Mecanismo de Recuperación y Resiliencia;;5.767,77;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;258.340,04;
 ; ;;;;;;
;;;;TOTAL C06.I02 Red Transeuropea de Transporte. Otras actuaciones. Infraestructuras y Ecosistemas Resilientes;;514.984,74;
 ; ;;;;;;
v;;45FC;;C06.I03 Intermodalidad y logística;;;
;;;6;INVERSIONES REALES;;;
;;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;19.810,86;
;;;690;Inversión nueva en infraestructuras y bienes destinados al uso general. Mecanismo de Recuperación y Resiliencia.;;19.810,86;
;;;;TOTAL INVERSIONES REALES;;19.810,86;
 ; ;;;;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;296.870,26;
v;;;742;A ADIF para el Mecanismo de Recuperación y Resiliencia;;157.138,26;
v;;;745;A Puertos del Estado para el Mecanismo de Recuperación y Resiliencia;;139.732,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;296.870,26;
 ; ;;;;;;
;;;;TOTAL C06.I03 Intermodalidad y logística;;316.681,12;
 ; ;;;;;;
v;;45FD;;C06.I04 Programa de apoyo para un transporte sostenible y digital;;;
;;;4;TRANSFERENCIAS CORRIENTES;;;
;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;8.000,00;
;;;441;Eco incentivos al transporte (Logística). Mecanismo de Recuperación y Resiliencia (S. Público);;8.000,00;
;;;47;A empresas privadas;;32.000,00;
;;;470;Eco incentivos al transporte (Logística). Mecanismo de Recuperación y Resiliencia;;32.000,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;40.000,00;
 ; ;;;;;;
;;;7;TRANSFERENCIAS DE CAPITAL;;;
;;;74;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;51.000,00;
;;;741;Ayudas a entidades del sector público empresarial para el impulso de la digitalización, sostenibilidad e innovación en la cadena logística. Mecanismo de Recuperación y Resiliencia;;51.000,00;
;;;77;A empresas privadas;;41.000,00;
;;;770;Ayudas a empresas para el impulso de la digitalización, sostenibilidad e innovación en la cadena logística. Mecanismo de Recuperación y Resiliencia;;41.000,00;
;;;;TOTAL TRANSFERENCIAS DE CAPITAL;;92.000,00;
 ; ;;;;;;
;;;;TOTAL C06.I04 Programa de apoyo para un transporte sostenible y digital;;132.000,00;
 ; ;;;;;;
v;;45SC;;C19.I03 Competencias digitales para el empleo. Transportes y Movilidad.;;;
;;;4;TRANSFERENCIAS CORRIENTES;;;
;;;44;A Sociedades, Entidades Públicas Empresariales, Fundaciones y resto de entidades del Sector Público Estatal;;321,43;
;;;440;Subvenciones a Universidades públicas estatales para programas y cursos de formación en competencias digitales. Mecanismo de Recuperación y Resiliencia;;321,43;
;;;45;A Comunidades Autónomas;;5.678,57;
;;;450;Subvenciones a Universidades públicas autonómicas para programas y cursos de formación en competencias digitales. Mecanismo de Recuperación y Resiliencia;;5.678,57;
;;;47;A empresas privadas;;5.500,00;
;;;472;Subvenciones a Universidades privadas para programas y cursos de formación en competencias digitales. Mecanismo de Recuperación y Resiliencia;;5.500,00;
;;;;TOTAL TRANSFERENCIAS CORRIENTES;;11.500,00;
 ; ;;;;;;
;;;;TOTAL C19.I03 Competencias digitales para el empleo. Transportes y Movilidad.;;11.500,00;
 ; ;;;;;;
v;;46AA;;C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. I+D+i+Digitalización;;;
;;;6;INVERSIONES REALES;;;
;;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;2.580,17;
;;;694;Gastos de inversiones de carácter inmaterial. Mecanismo de Recuperación y Resiliencia.;;2.580,17;
;;;;TOTAL INVERSIONES REALES;;2.580,17;
 ; ;;;;;;
;;;;TOTAL C01.I01 Zonas de bajas emisiones y transformación del transporte urbano y metropolitano. I+D+i+Digitalización;;2.580,17;
 ; ;;;;;;
v;;46FB;;C06.I02 Red Transeuropea de Transporte. Otras actuaciones. I+D+i+Digitalización;;;
;;;6;INVERSIONES REALES;;;
;;;69;Inversiones reales. Mecanismo de Recuperación y Resiliencia;;30.284,54;
;;;692;Inversión nueva asociada al funcionamiento operativo de los servicios. Mecanismo de Recuperación y Resiliencia;;20.291,93;
;;;694;Gastos de inversiones de carácter inmaterial. Mecanismo de Recuperación y Resiliencia.;;9.992,61;
;;;;TOTAL INVERSIONES REALES;;30.284,54;
 ; ;;;;;;
;;;;TOTAL C06.I02 Red Transeuropea de Transporte. Otras actuaciones. I+D+i+Digitalización;;30.284,54;
 ; ;;;;;;
;;;;TOTAL MECANISMO DE RECUPERACIÓN Y RESILIENCIA;;2.590.984,89;
 ; ;;;;;;
 ; ;;;;;;
;;;;TOTAL MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE;;11.451.295,92;
;;



