;PRESUPUESTOS GENERALES DEL ESTADO;
;ORGANISMOS AUTÓNOMOS;
;Resumen general por organismos y capítulos del presupuesto de gastos;
;PRESUPUESTO 2023-P;
;
;(Miles de euros);
;
Orgánica;Explicación;Cap. 1;Cap. 2;Cap. 3;Cap. 4;Cap. 6;Cap. 7;Cap. 8;Cap. 9;Total;
28.101; UNIVERSIDAD INTERNACIONAL MENÉNDEZ PELAYO;5.086,86;9.257,03;34,35;9.111,69;1.144,13;;15,13;;24.649,19;
28.102; SERVICIO ESPAÑOL PARA LA INTERNACIONALIZACIÓN DE LA EDUCACIÓN;7.624,87;5.526,74;5,35;40.203,64;616,29;;16,50;;53.993,39;
28.103; CENTRO DE INVESTIGACIONES ENERGÉTICAS, MEDIOAMBIENTALES Y TECNOLÓGICAS;59.677,91;27.025,51;1.139,36;554,20;53.507,36;2.225,65;128,00;450,00;144.707,99;
28.104; AGENCIA NACIONAL DE EVALUACIÓN DE LA CALIDAD Y ACREDITACIÓN;5.074,41;6.566,23;1,00;;1.220,00;;15,00;;12.876,64;
28.107; INSTITUTO DE SALUD CARLOS III;45.229,23;24.655,41;60,00;85.896,22;74.399,25;259.106,04;226,00;;489.572,15;
29;MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030;11.653,58;5.722,29;5,00;8.778,91;3.226,22;200,00;36,51;;29.622,51;
29.101; AGENCIA ESPAÑOLA DE SEGURIDAD ALIMENTARIA Y NUTRICIÓN;10.990,30;5.350,37;5,00;;3.168,72;;30,00;;19.544,39;
29.102; REAL PATRONATO SOBRE DISCAPACIDAD;663,28;371,92;;8.778,91;57,50;200,00;6,51;;10.078,12;
30;MINISTERIO DE IGUALDAD;6.353,48;10.250,07;;7.629,00;3.154,75;100,00;23,71;;27.511,01;
30.101; INSTITUTO DE LAS MUJERES;6.353,48;10.250,07;;7.629,00;3.154,75;100,00;23,71;;27.511,01;
31;MINISTERIO DE JUVENTUD E INFANCIA;9.421,25;8.519,20;26,00;36.032,97;197,22;50,00;29,95;;54.276,59;
31.101; INSTITUTO DE LA JUVENTUD;9.421,25;8.519,20;26,00;36.032,97;197,22;50,00;29,95;;54.276,59;
33;MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA;54.702,35;1.223.386,91;137,85;770.437,77;8.519,81;;230,30;;2.057.414,99;
33.101; INSTITUTO NACIONAL DE ADMINISTRACIÓN PÚBLICA;23.166,33;27.520,46;0,82;63.616,43;4.144,49;;50,00;;118.498,53;
33.102; MUTUALIDAD GENERAL DE FUNCIONARIOS CIVILES DEL ESTADO;31.536,02;1.195.866,45;137,03;706.821,34;4.375,32;;180,30;;1.938.916,46;
;TOTAL;2.086.756,64;3.142.464,70;6.975,68;36.211.441,42;1.402.942,61;2.314.548,59;7.243,77;36.289,60;45.208.663,01;
;;



